授業回,テーマ,問No.,問：【】内の記述が適切かどうかを答えてください。,正解（o：適切、x：適切でない）,解説,小テスト版からの変更（0：なし、1：あり）
7,対人関係,9,【「衡平理論」によれば、自分と相手との間の報酬・コストが衡平であれば、お互いに満足いき、関係は安定的に維持される。】,o,しかし、不衡平の状態にあるときには、人はその不衡平を解消しようと動機づけられ、衡平な状態に修正できなければ、関係の崩壊が起こるとされる。,0
7,対人関係,10,【成人の愛着スタイルは、「他者への評価」と「自己評価」によって特徴づけることができる。他者への評価がネガティブな人は、他者への依存度が大きい。】,x,他者への評価は、他者との関係を回避する傾向の強さに関係する。他者への評価がネガティブな人は、他者との関係を回避する傾向が強いとされている。それに対し、他者への評価がポジティブな人は、他者を回避しようとする傾向が弱いとされている。また、自己評価は他者への依存度の大きさに関係する。自己評価がポジティブな人は、他者への依存度が小さい。それに対し、自己評価がネガティブな人は、他者への依存度が大きい。,0
8,コミュニケーション,1,【一般的に、相手に視線を送ることは好意の表れを意味し、相手からの好意を引き出すことができる。したがって、相手を見つめれば見つめるほどよいといえる。】,x,一般的に、相手に視線を送ることは好意の表れを意味し、相手からの好意を引き出すことができる。しかし、見つめれば見つめるほどよいというわけではない。たとえば、自分が話すときよりも、相手が話すときに視線を送ることがよい印象を与える。,0
8,コミュニケーション,2,【言語以外のものを用いたコミュニケーションを「パラ言語」とよぶ。】,x,言語以外のものを用いたコミュニケーションを「非言語的コミュニケーション」とよぶ。「パラ言語」とは、話し方（音声の大きさ、速度など）や、文字の大きさや形といった言語に付随する非言語的側面のことである。パラ言語は、非言語的コミュニケーションの手段の一つである。,0
8,コミュニケーション,3,【何らかの目的達成のために行うコミュニケーションを「自己完結的コミュニケーション」とよぶ。】,x,何らかの目的達成のために行うコミュニケーションを「道具的コミュニケーション」とよぶ。たとえば、飲食店で食べたいものを音声言語で注文するような場合である。それに対して、コミュニケーションを行うこと自体が目的となる場合もある。たとえば、話すこと自体が楽しいといった場合や、喜び、悲しみなどの感情を表出するような場合である。このような場合におけるコミュニケーションを「自己完結的コミュニケーション」とよぶ。,0
8,コミュニケーション,4,【人との関係を維持するためのコミュニケーション技術を「ソーシャルスキル」とよぶ。】,o,私たちはさまざまな場面で人と出会い、関係を形成するが、その関係性を維持するにはそれなりの技術が必要である。,0
8,コミュニケーション,5,【開いた質問をすることは、「あなたの話に興味がある」「あなたの思うように話して欲しい」という意思表示となる。】,o,「開いた質問」とは、相手側がいかようにも答えることが可能な質問のことである。より具体的には、「何を」「なぜ」「どのように」というような質問である。それに対し、回答が限定されるような質問を「閉じた質問」とよぶ。たとえば、イエスかノーでしか答えようのない質問は、閉じた質問である。また、年齢、居住地などを尋ねるのも、閉じた質問だといえる。,0
8,コミュニケーション,6,【相手から送られたメッセージを話し手に返す行為を「反射」とよぶ。】,o,相づちや反射を用いる際には、非言語的コミュニケーションを合わせて用いることが効果的である。うなずくとか、話の内容に合わせて表情をつくるといったことである。,0
8,コミュニケーション,7,【他者が自分に対して好意的な振る舞いをしたら、こちらも相手に対して好意的な振る舞いを返すことを「返報性」とよぶ。】,o,ドア・イン・ザ・フェイス・テクニックが効果を持つ理由についての有力な説として、「譲歩してきた相手には譲歩しないといけない」という規範を私たちが有しているためである、という説がある。「相手が譲歩したら、こちらも譲歩する」というのは、返報性のあらわれだといえる。,0
8,コミュニケーション,8,【フット・イン・ザ・ドア・テクニックは、事前要請と本来の要請とで要請者が異なっても有効だといえる。】,o,また、フット・イン・ザ・ドア・テクニックは、事前要請と本来の要請とで要請の話題や内容が変わっても効果をもつといえる。,0
8,コミュニケーション,9,【自己知覚理論によれば、自己の内的状態は、直接知ることができるものではなく、自己の行動やその行動が生起した状況などの外部手がかりを観察することで推測するものである。】,o,私たちは、他者の内的状態（思考、信念、性格など）を直接知ることはできない。したがって、他者の内的状態は、外部から観察可能な行動などから推論することになる。自己知覚理論によれば、自己の内的状態についても同様であるという。自己知覚理論は、フット・イン・ザ・ドア・テクニックが効果をもつことについての説明として有力なものの１つである。,0
8,コミュニケーション,10,【私たちには、一貫した行動を取ることや、他者からもそのように見られることを望む傾向があるとされる。そのため、私たちは、以前の行動と同様の行動を取りがちである。このことを「一貫性」とよぶ。】,o,フット・イン・ザ・ドア・テクニックには、一貫性も関係していると考えられる。フット・イン・ザ・ドア・テクニックにおいて事前要請を承諾した人は、一貫性によって、その後も同様の行動（つまり、要請を承諾するという行動）を取りがちになるのである。,0
8,コミュニケーション,11,【ロー・ボール・テクニックとザッツ・ノット・オール・テクニックでは、本来の目的である要請とそれに先立つ要請は別物である。】,x,ドア・イン・ザ・フェイス・テクニックとフット・イン・ザ・ドア・テクニックでは、本来の目的である要請とそれに先立つ要請は別物である。それに対し、ロー・ボール・テクニックとザッツ・ノット・オール・テクニックでは、最初から本来の目的である要請を行っており、最初の要請と次の要請とで異なるのは付随する条件である。,0
9,集団,1,【人の集まりはすべて「集団」である。】,x,集団は、複数の個人の集まりである。しかし、「人の集まりはすべて集団である」というわけではない。集団とは、次のような条件を満たすものであるとされる：「1. 複数の人間の集まりであること」「2. 集まり全体としての目的・目標があり、それを成員（メンバー）たちが共有していること」「3. 共通の目的・目標を達成するために、成員たちが協力すること」。,0
9,集団,2,【集団への所属意識、つまり「自分は○○という集団に所属している」という意識は、自身のアイデンティティの一部ともなる。】,o,第06回「自己」の授業で取り上げた、「社会的アイデンティティ」を思い出してほしい。なお、自分が所属している集団を「内集団」、それ以外の集団を「外集団」とよぶ。,0
9,集団,3,【「集団凝集性」とは、集団としてのまとまりや結束力のことである。】,o,次のような要因が、集団凝集性の高さにつながる：「各成員が受ける報酬の多さ」「各成員の所属意識の高さ」「成員間での目的・目標の共有度合いの高さ」。,0
9,集団,4,【「集団規範」とは、集団内の人々が従うべき明文化された規則である。】,x,集団が成立して時間が経過すると、集団活動における価値評価や判断、行動の規準のようなものが自然と出来上がる。これを「集団規範」とよぶ。集団規範は、文章になっているわけではないのだが、暗黙のうちに集団内の人々が従うべきものとみなされ、成員たちの考えや行動を統制することになる。集団規範から外れた行動をとる成員は、集団内で違和感を持って見られる存在となり、ときに非難されたり、仲間外れにされたりすることがある。,0
9,集団,5,【集団で課題を遂行する際に、1人当たりの遂行量・努力量が減少する現象を「社会的手抜き」とよぶ。】,o,たとえば、リンゲルマンは、1人、2人、3人、あるいは8人で綱を引いてもらい、その力を測定して、1人当たりの引っ張る力を算出した。その結果、1人で引いた場合の引っ張る力を100％とすると、2人で引いた場合は93％、3人で引いた場合は85％、8人で引いた場合は49％であった。,0
9,集団,6,【リスキーシフト現象の生起プロセスは、コーシャスシフト現象の生起プロセスとはまったく異なる。】,x,現在では、リスキーシフト現象とコーシャスシフト現象は、集団極性化現象の2つの現れ方として理解されている。集団極性化現象とは、集団における議論においては個々人の意見がより極端化されること、あるいはその結果として集団としての意思決定が極端化されることを指す。,0
9,集団,7,【集団極性化現象を引き起こすプロセスのひとつには、確証バイアスが関わっている。】,o,確証バイアスについては、第03回、第05回の資料を参照。,0
9,集団,8,【集団思考を防ぐために、リーダーは最初に自分の希望を明確に述べたうえで、メンバーが反対意見や疑問点を出すように鼓舞しなければならない。】,x,集団のメンバーが、集団内で支持を失うことや、排除されることをおそれると、仲間の間で事を荒立てず、現在の望ましい関係を維持することに関心が向くようになる。その結果として、集団の目標達成に必要な現実を検討する能力や道徳的判断、知的能率が低下し、有効な問題解決が妨げられることがある。これを「集団思考」とよぶ。ジャニスは、集団思考を防ぐには、「リーダーは批判的な評価者としての役割をとり、メンバーが反対意見や疑問点を出すように鼓舞しなければならない」「リーダーは最初から自分の好みや希望を述べて、偏った立場にあることを明らかにしてはならない」などと指摘している。（【】内の記述は、「リーダーは最初に自分の希望を明確に述べたうえで」の箇所が不適切である。）,0
9,集団,9,【初期のリーダーシップ研究では、リーダーの個人的な属性とリーダーシップとの関連が研究されたが、一貫した結果は認められなかった。】,o,初期のリーダーシップ研究では、リーダーになる人は他の人にない優れた特徴をもっているのではないかと考えられた。たとえば、身長、体重、容姿、知能、性格、社会経済的地位などの個人的な属性とリーダーシップとの関連が研究された。しかし、そこには一貫した結果が認められなかった。そこで、リーダーの個人的属性ではなく、リーダーの行動様式（リーダーシップ・スタイル）に研究の焦点が移っていくこととなった。,0
9,集団,10,【「PM理論」の4類型と集団の生産性やメンバーの満足度などについてのさまざまな指標との関連を調査した研究の結果、どのような指標をとっても、PM型リーダーの結果が一番よく、pm型リーダーの結果が最も悪かった。】,o,なお、Pm型とpM型の比較では、指標や期間により優劣が異なった。たとえば、業績や事故の発生などの生産性を指標にとった場合、短期的にはPm型の方がよい結果であったが、長期的にはpM型の方が優れた結果となった。また、仕事に対する意欲や会社・給与に対する満足感などに関する部下の認知を指標とした場合、総じて、pM型の方がPm型よりも効果が高い結果となった。,0
9,集団,11,【コンティンジェンシー理論は、どんな状況においても常にベストであるようなリーダーシップ行動やスタイルは存在しないという考え方である。】,o,コンティンジェンシー（contingency）理論は、ある特定のリーダーシップ・スタイルの効果性・有効性は、集団の状況により変化するということを基本としている。,0
10,集合行動,1,【集合行動は、集団とはよべないような集まりにおいてみられる現象である。】,o,そのような集まりのなかで、ある特定の行動パターンをとる人が徐々に増えていき、最終的に集まりを形成する人々のほとんどが同じような行動をみせるようになる場合がありうる。このような現象を「集合行動」とよぶ。集合行動には、群集行動、流行、流言などがある。,0
10,集合行動,2,【群集は、受動的か能動的かによって、「聴衆」と「モッブ（モブ）」に大別できる。】,o,「聴衆」は受動的な群衆、「モッブ」は能動的な群衆である。,0
10,集合行動,3,【「攻撃的モッブ」とは、祭りで興奮した人々が狂喜乱舞するといった、日常からの解放行動を示す群集を指す。】,x,モッブは、表出的モッブ、利得的モッブ、逃走的モッブ、攻撃的モッブに分けることができる。表出的モッブとは、祭りで興奮した人々が狂喜乱舞するといった、日常からの解放行動を示す群集を指す。利得的モッブは、バーゲンに殺到する人たちや、不安に駆られて特定商品を買い占めたり、銀行の取り付け騒動を起こしたりする人々を指す。逃走的モッブは、地震や火災などの現場に居合わせて混乱した状態にある群集を意味する。攻撃的モッブは、暴動を起こす人々などを指す。,0
10,集合行動,4,【思想、科学の世界では流行という現象はみられない。】,x,流行は、服飾や化粧、髪型などで顕著であるが、芸術、工芸、娯楽、言語、思想、科学など、社会生活のあらゆる面で生じうる。,0
10,集合行動,5,【流行が伝播し始めてから消滅するまでのどの段階で流行を採用するのかによって、個人を5つのタイプに分類することができる。5つのタイプのうち、「革新的採用者」は、最も早く流行を採用する者であり、流行の火付け役であるといえる。】,x,ロジャースは、流行の普及過程に注目し、流行が伝播し始めてから消滅するまでのどの段階で流行を採用するのかによって、個人を「革新的採用者」「初期少数採用者」「前期多数採用者」「後期多数採用者」「採用遅滞者」の5つのタイプに分類している。革新的採用者は、最も早く流行を採用する者であるが、他者に対する影響は限定的だと考えられている。それに対し、初期少数採用者は、前期多数採用者や後期多数採用者に大きな影響を与える存在であり、流行の火付け役であるといえる。,0
10,集合行動,6,【ある社会的な集まりの中で、真偽が確かめられていない情報が、人から人へと伝えられていく連鎖的な伝達過程のこと（あるいはその過程において伝達されていく情報のこと）を「流言」とよぶ。】,o,（解説は特になし。）,0
10,集合行動,7,【流言においては、情報が伝達されていくにつれて、その情報の内容が変容していくことが一般的である。】,o,流言における伝達情報の変容については、次のような特徴がみられる：「伝達途上で内容が簡約化・平易化される。」「特定の情報にだけ注意が向いて誇張される。」「内容が伝達者の認知的枠組みにそって再構成される（伝達者は、受け取った情報を、自分がもっている知識や信念、自分なりの常識にもとづいて解釈したうえで、他者に伝える）。」,0
10,集合行動,8,【流言は、発生動機に悪意がないため、騒動につながるようなことはない。】,x,一般には「デマ」と「流言」は同じ意味で使われることが多い。しかし、厳密には、「デマ」と「流言」は次のように区別される。ある目的のためにありもしないことを故意に言いふらして扇動することが「デマ」である。それに対し、「流言」は発生動機に悪意を伴わないものを指す。ただし、悪意がないとはいえ、流言はとんでもない騒動を招いてしまうこともある。,0
10,集合行動,9,【流言の発生には、事態の重要性、情報のあいまいさ、不安・緊張という要因が関わる。】,o,流言は、その事態が人々にとって重要であるほど、そして、情報があいまいであるほど大きくなる。また、不安や緊張は、流言発生の素地・土台となる。,0
10,集合行動,10,【1973年に発生した豊川信用金庫の取り付け騒動では、多数の客が預金解約・払い戻しを求めて、各店舗につめかけた。これらの人々は「利得的モッブ」であるといえる。】,o,「利得的モッブ」は、バーゲンに殺到する人たちや、不安に駆られて特定商品を買い占めたり、銀行の取り付け騒動を起こしたりする人々を指す。,0
11,他者からの影響(1),1,【同調は、比較的規模の小さな集団においても生じうる。】,o,個人の意見、判断、行動などが多数派と異なっているときに、多数派に合うようにそれらを変えてしまうことを、「同調」とよぶ。アッシュは、一連の実験によって、同調の起こりやすさに及ぼす集団の規模の影響について調べている。その結果、同調は、メンバーが本来の実験参加者の他に1人しかしない場合にはほとんど起こらなかった。メンバーが2人、3人と増えるにしたがって、同調は起こりやすくなったが、メンバーがそれより増えても同調の起こりやすさはほとんど変わらなかった。このような結果から、同調は、比較的規模の小さな集団においても生じうるといえる。,0
11,他者からの影響(1),2,【「私的受容による同調」とは、本心では他者の意見に同意していないのだが、行動では表面上他者の意見に合わせるような同調のことである。】,x,同調は、「公的受容による同調」と「私的受容による同調」の2種類に大別できる。「公的受容による同調」とは、本心では他者の意見に同意していないのだが、行動では表面上他者の意見に合わせるような同調である。それに対し、「私的受容による同調」は、他者の意見に本心から同意して生じるものである。,0
11,他者からの影響(1),3,【多数者意見が少数者にもたらす影響には、「規範的影響」と「情報的影響」の2種類がある。規範的影響は、正しい判断や意見を示唆するものである。】,x,規範的影響は、自分に対して周囲が期待している行動を示唆するものである。それに対し、情報的影響は、正しい判断や意見を示唆するものである。公的受容による同調は、規範的影響に基づいたものであると考えられる。また、私的受容による同調は、情報的影響に基づいたものであると考えられる。,0
11,他者からの影響(1),4,【権威のある他者から受けた命令などの社会的圧力によって、自らの意志とは異なる行動をとることを「服従」とよぶ。】,o,ミルグラム（S. Milgram， 1963）の実験は、服従が容易に起こることを示した。,0
11,他者からの影響(1),5,【ミルグラムの実験では、最大強度の450ボルトまで電気ショックを与え続けた実験参加者はほとんどいなかった。】,x,実験が行われる前には、実験参加者のほとんどが送電を途中でやめてしまうだろう、と予想されていた。しかし、実際には、40人中26人（65％）もの実験参加者が最大強度の450ボルトまで電気ショックを与え続けた。この実験の結果は、人間は権威からの指示・命令に弱く、容易に服従してしまうことを示している。,0
11,他者からの影響(1),6,【他者に影響を与えて、その行動、態度、信念などを変化させることのできる能力および変化させる可能性を持つ状態のことを「社会的勢力」とよぶ。】,o,社会的勢力（social power）は、次の5種類に分類することができる：「報酬勢力」「罰勢力（強制勢力）」「正当勢力」「専門勢力」「参照勢力」,0
11,他者からの影響(1),7,【専門勢力を有する者が、実際には専門家でないこともありえる。】,o,被影響者に専門家であると認められさえすれば、専門勢力は生じうる。,0
11,他者からの影響(1),8,【社会的勢力とは、それをもつ者の内的な要因（能力、知識、性格など）によって生まれるものである。】,x,ある者が社会的勢力をもつかどうかは、その影響を受ける側の認知、捉え方に大きく左右される。社会的勢力とは、それをもつ者の内的な要因によって生まれるものではなく、むしろ被影響者の認知によって生じるものだといえる。,0
11,他者からの影響(1),9,【権威とは正当勢力と専門勢力が融合したものである。】,o,たとえば、法律に関する高度な専門性を持つ者（専門勢力者）に、その専門性を世間一般に広く認めさせるために資格を与えた結果、弁護士という正当勢力をも有するようになる。このような者は法律の権威であるといえる。,0
12,他者からの影響(2),1,【「社会的促進」が起こるのは、よく学習されて慣れ親しんだ課題や難易度の低い課題を行う場合である。】,o,私たちが何らかの課題や作業などを行うとき、近くに同じ課題や作業を行っている他者がいたり、自分が課題や作業を行うのを見ている他者がいたりすることがある。このような他者の存在によって、個人の課題遂行が促進されることを「社会的促進」、抑制されることを「社会的抑制」とよぶ。社会的促進が生じるのは、よく学習されて慣れ親しんだ課題や難易度の低い課題を行う場合である。それに対し、社会的抑制が生じるのは、あまり学習されていない課題や難易度が高い課題を行う場合である。,0
12,他者からの影響(2),2,【他者と協同して課題や作業に取り組む場合、単独で作業する場合に比べて、各個人の努力量が減少することがある。これを「社会的抑制」とよぶ。】,x,他者と協同して課題や作業に取り組む場合、単独で作業する場合に比べて、各個人の努力量が減少することがある。これを「社会的手抜き」とよぶ。「社会的抑制」については、一つ前の設問の解説文を参照。,0
12,他者からの影響(2),3,【緊急な援助を必要とするような他者が存在するような場面において、第三者（傍観者）の存在が援助行動を抑制することがある。これを「傍観者効果」とよぶ。】,o,なお、「傍観」とは、ある事態が起きているときに、その事態に関わろうとせず、ただ近くで見ていることである。,0
12,他者からの影響(2),4,【ダーリーとラタネ（J. M. Darley & B. Latane， 1968）の実験の結果は、援助行動の抑制の程度は傍観者の人数が多くなるほど強まることを示している。】,o,実験参加者と病人のみの条件では、すべての実験参加者が制限時間内（発作から6分以内）に報告し、報告までの時間も短かった。実験参加者と病人以外の参加者が存在すると、実験参加者と病人のみの場合に比べて、報告率が低く、報告までの時間も長くなった。また、この傾向は、実験参加者と病人以外の参加者の数が多い方が顕著であった。,0
12,他者からの影響(2),5,【緊急事態での援助行動は、 (1) 緊急事態発生の判断、 (2) 緊急事態への注意、 (3) 個人的責任の程度の決定、 (4) 介入様式の決定、 (5) 介入の実行 という段階を順番にたどって実行されると考えられている。】,x,ラタネとダーリー（1970）は、緊急事態での援助行動は、 (1) 緊急事態への注意、 (2) 緊急事態発生の判断、 (3) 個人的責任の程度の決定、 (4) 介入様式の決定、 (5) 介入の実行 という段階を順番にたどって実行されると考え、傍観者の存在がそれぞれの段階において援助行動を抑制するように作用する可能性を指摘した。（問の【】内の記述は、「緊急事態発生の判断」と「緊急事態への注意」の順番が逆である。）,0
12,他者からの影響(2),6,【私たちの行動は、思いのほか、他者の存在の影響を強く受けている。】,o,他者の存在によって、内的要因（性格など）には特に極端な点はみられない、ごく一般的な人であっても、他者を苦しめることを行ったり（ミルグラムの服従の実験）、生命に危険が迫っている他者を助けなかったり（ダーリーとラタネの傍観者効果の実験）することがあるのである。,0
12,他者からの影響(2),7,【ジンバルドーらが行った模擬刑務所実験では、各種の心理検査などによって看守の適性があるとされた者を看守役に割り当てた。その結果、看守役は実際の看守になりきってしまった。】,x,模擬刑務所実験では、21名の実験参加者のうち、10名が看守役、11名が囚人役に、ランダムに割り当てられた。それにも関わらず、囚人役も看守役も、実際の囚人や看守になりきってしまった。,0
13,文化,1,【中国の子どもたちに、「『パンダ』『バナナ』『サル』の３つのうち２つを一緒の仲間に分類するとしたら、どれとどれが仲間だろうか。」という問題に答えてもらったところ、「パンダ」と「サル」を仲間として選ぶ傾向が高かった。】,x,アメリカの子どもでは、「パンダ」と「サル」が仲間だとする者が多かった。「動物」という分類学上のカテゴリーにもとづいて仲間を選んだのである。これに対し、中国の子どもは「サル」と「バナナ」を仲間として選ぶ傾向が高かった。「サルはバナナを食べるから」という関係にもとづいて仲間を選んだのである。,0
13,文化,2,【西洋人の思考法は、古代ギリシア以来の「分析的思考」である。】,o,分析的思考とは、「対象を周囲の状況や文脈から切り離して単独で考え、属性にもとづいてカテゴリーに分類し、それぞれのはたらきや要素間の作用や因果関係を理解する」という思考法である。,0
13,文化,3,【「物事は周囲と切り離せず周りの状況や文脈など全体から理解すべきで、物事には矛盾があり真実は1つではない」という、古代中国文明をルーツとする思考法を「相対的思考」とよぶ。】,x,問の【】内で述べられているような思考法を「包括的思考」とよぶ。東洋人（中国、韓国、日本などの東アジアの人）の思考は、包括的思考である。,0
13,文化,4,【西洋の人よりも東洋の人の方が、基本的な帰属のエラー（過度の内的帰属）の程度が低いといえる。】,o,原因帰属においては、西洋の人よりも東洋（東アジア）の人の方が、より外的要因を重視する傾向がある。つまり、西洋の人よりも東洋の人の方が、基本的な帰属のエラー（過度の内的帰属）の程度が低いといえる。第04回授業では「基本的な帰属のエラーは、人間がおかしがちな本質的で普遍的な帰属の誤りであるとされている」と説明したが、人間にとって本質的で普遍的だと考えられていたバイアスにも文化による程度の差があるということである。,0
13,文化,5,【欧米文化の自己観は「相互独立的自己観」とよばれる。】,o,欧米文化の自己観は「相互独立的自己観」とよばれ、自己は他者や周りから独立している。自分自身の能力や特性が重要で、自分の行動は自分の内部の性格や能力によって決められるべきで、個人の自由や権利、ユニークさや自己主張が重視される。,0
13,文化,6,【東アジアの自己観は「相互依存的自己観」とよばれる。】,x,東アジアの自己観は「相互協調的自己観」とよばれる。「相互協調的自己観」では、自己は近い人たちと明確には区切られておらず、自己に組み込まれている。自分にとって重要な人たちの期待やその人たちとの関係が大事で、私的な特徴より社会的な地位や役割が大切である。人の気持ちを理解し協調して自分を抑え、周りの人たちから期待されているように行動する。そして、自分の仲間（内集団）とそうでない人々（外集団）とを区別する。,0
13,文化,7,【西洋文化では「自己高揚」、東洋では「自己卑下」の傾向がみられる。】,o,西洋文化では、自尊感情は高くあるべきだと考えられているために、自分を良く見ようとする「自己高揚」の傾向がある。東洋では、自分を低く見ようとする「自己卑下」の傾向がみられる。自分が内集団のメンバーより優れているということに対する抵抗感だと考えられる。また、常に自己批判をすることにより、向上して完璧に近付こうとする動機ともつながっている。,0
13,文化,8,【日本では、水平的集団主義傾向が強い人々が多くみられる。】,x,「垂直」とは、内集団に仕える、不平等が認められる、地位に特権が認められる、ということである。それに対し、「水平」とは、社会的連帯や一体感、特に地位において平等ということである。日本では、垂直的集団主義傾向が強い人々が多くみられ、地位が大切で、礼儀正しく相互依存的で人と違うことはしない。,0
13,文化,9,【ほとんどすべての実証的研究は日本人が集団主義的であることを支持している。】,x,高野陽太郎（2008）によれば、ほとんどすべての実証的研究は日本人が集団主義的であることを支持していないという。「アメリカ人は個人主義」「日本人は集団主義」というのは、ステレオタイプに過ぎず（ステレオタイプについては第03回授業資料を参照）、アメリカ人も日本人もそう思い込んでいるだけかもしれないのである。,0
13,文化,10,【内的要因（心）としての文化と外的要因（社会）としての文化は、一方が他方を生み出すという、循環的なプロセスのなかに位置づけることができる。】,o,たとえば、アメリカの本や教科書には、サクセスストーリーが多く、日常の会話にもポジティブな話題が多い。自尊心が大切というアメリカ人の心がお互いに「ほめ合う」「自尊心を高め合う」社会をつくり、その結果、高い自尊心という心をつくっているとも考えられる。,0
14,自動性,1,【「プライミング効果」とは、ある判断や行動に先立って経験された事柄が、後続の判断や行動に影響を与える（促進したり、抑制したりする）現象である。】,o,プライミング効果は、刺激を認知閾下で呈示した場合でも生じうる。また、刺激が認知閾上で提示され、その刺激そのものには気づいている場合であっても、その刺激が後続の行動に影響を及ぼしたことに、当人が気づいていないこともある。,0
14,自動性,2,【人間の社会的判断や社会的行動は、そのほとんどが意識的な制御のもとで行われる。】,x,バージをはじめとする自動性の研究者が明らかにした知見は、「人間の社会的判断や社会的行動は、そのほとんどが意識的な制御のもとで行われる。」といった常識を根底から覆すものだった。,0
14,自動性,3,【自動性を支える自動的過程には、「無自覚」「非意図的」「効率的」「統制不可能」という4つの特徴がある。】,o,「無自覚…当該の行動の生起に行為者の意識的関与は必要ない、行為者が自身の行動の原因に気付いていない」「非意図的…行為者は当該の行動を意図的にとろうとしたわけではない、あるいは意図に反した行動が生起している」「効率的…特別な努力や認知資源を必要とせずに、当該の行動が生じている」「統制不可能…その行動を中止するなど、行為者が望む方向に自身の行動をコントロールすることができない」,0
14,自動性,4,【人間の認知や行動のかなりの部分は無意識的な心の働きに依存しているため、意識は人間にとって重要な役割を果たしてはいない。】,x,人間の認知や行動のかなりの部分は無意識的な心の働きに依存しているという考えは、研究者の間では一般的なものになってきた。一方で、意識は確かに人間にとって重要な役割を果たしていると主張する研究者もいる。たとえば、意識的関与のない自動的過程は、効率的ではあるが、しばしばエラーやバイアスを引き起こす。こうしたエラーやバイアスの修正は、意識的な過程によってのみ行われるという。,0
14,自動性,5,【自己制御に必要なエネルギー（制御資源）は有限であるため、ある場面で制御資源を使いすぎると、制御資源が枯渇してしまい、後続の場面での自己制御が難しくなることがある。これを「自我枯渇」とよぶ。】,o,バウマイスターらは、おいしそうなチョコレートを食べるのを我慢させ、代わりにラディッシュを食べさせた実験参加者は、その後に難しいパズル問題をさせたとき、あきらめるまでの時間が早かったことを報告している。,0
14,自動性,6,【自由意志の存在そのものに疑問を投げかけている研究者も存在する。】,o,たとえば、ウェグナーは、自由意志の存在は幻想に過ぎず、実際には自分の意思で開始された行為ではなくても、私たちは自分の意思によるものと誤って信じているのだと主張している（Wegner， 2002; Wegner & Wheatley， 1999）。このような、自らの意思で行為を決定しているという主観的感覚を「エージェンシー感覚」とよぶ。,0
14,自動性,7,【「自由意志は存在する」という信念は自己制御を高め、向社会的行動を促進し、反社会的行動を抑制する。】,o,実験参加者に自由意志の存在を否定する書籍の一節を読ませるなどして、自由意志への信念を低下させると、カンニングをするなどの不正な行為が増えたり、攻撃性が増したり、援助行動が減ったりすることが明らかにされている。,0
14,自動性,8,【二重過程モデルにおける「システム2」には、「制御的」「認知的な負荷が比較的大きい」「比較的速い」などの特徴がある。】,x,「制御的」「認知的な負荷が比較的大きい」はシステム2の特徴であるが、「比較的速い」はシステム1の特徴である。システム1、システム2の特徴は次のように要約できる：「システム1は、連想的、全体論的、並列的、自動的、認知的な負荷が比較的小さい、比較的速い、高度に文脈依存」「システム2は、規則に基づく、分析的、直列的、制御的、認知な負荷が比較的大きい、比較的遅い、文脈から独立」,0
